Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
85;GoldenEye 007;N64;1997;Shooter;Nintendo;58;201;13;15;809
86;Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega;258;39;66;91;806
87;Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;291;207;273;33;805
88;Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft;228;172;363;23;786
89;Pok√©mon Platinum Version;DS;2008;Role-Playing;Nintendo;282;178;269;55;784
90;Pac-Man;2600;1982;Puzzle;Atari;728;45;0;8;781
91;Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;29;283;24;175;772
92;Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;366;242;98;64;769
93;Star Wars Battlefront (2015);PS4;2015;Shooter;Electronic Arts;293;329;22;123;767
95;The Legend of Zelda: Ocarina of Time;N64;1998;Action;Nintendo;41;189;145;16;76
94;Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision;28;33;14;137;76
96;Crash Bandicoot 2: Cortex Strikes Back;PS;1997;Platform;Sony Computer Entertainment;378;217;131;31;758
97;Super Mario Bros. 2;NES;1988;Platform;Nintendo;539;118;7;19;746
98;Super Smash Bros. for Wii U and 3DS;3DS;2014;Fighting;Nintendo;324;135;242;43;745
99;Call of Duty: World at War;X360;2008;Shooter;Activision;479;19;0;69;737
100;Battlefield 3;X360;2011;Shooter;Electronic Arts;446;213;6;69;734
101;The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;383;219;6;7;731
102;Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision;452;209;1;67;73
103;Just Dance;Wii;2009;Misc;Ubisoft;351;303;0;73;727
104;Battlefield 3;PS3;2011;Shooter;Electronic Arts;285;293;35;11;723
105;Need for Speed Underground;PS2;2003;Racing;Electronic Arts;327;283;8;102;72
106;Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;327;222;14;29;716
107;Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;368;175;142;28;713
108;Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;441;104;139;22;707
109;Mario Kart 8;WiiU;2014;Racing;Nintendo;313;207;127;49;696
110;Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;247;315;24;11;696
111;Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo;412;177;87;19;695
112;Just Dance 4;Wii;2012;Misc;Ubisoft;414;221;0;56;691
114;Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;271;302;8;109;69
113;FIFA 14;PS3;2013;Sports;Electronic Arts;78;432;7;173;69
115;Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;293;275;17;99;683
116;Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment;277;28;19;106;683
117;Crash Bandicoot;PS;1996;Platform;Sony Computer Entertainment;323;235;94;3;682
118;Zumba Fitness;Wii;2010;Sports;505 Games;35;264;0;67;681
119;Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;415;192;6;64;676
120;Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;327;225;21;1;673
121;Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;31;23;28;104;672
122;FIFA 12;PS3;2011;Sports;Electronic Arts;84;432;11;142;669
123;Big Brain Academy;DS;2005;Misc;Nintendo;167;278;16;62;667
124;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;279;261;17;103;66
126;Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;325;184;103;47;659
125;FIFA 15;PS4;2014;Sports;Electronic Arts;79;429;5;147;659
127;The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;255;271;25;105;656
128;The Legend of Zelda;NES;1986;Action;Nintendo;374;93;169;14;651
129;Assassin's Creed III;PS3;2012;Action;Ubisoft;264;256;16;114;65
130;Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios;498;13;8;7;643
131;Pok√©mon Emerald Version;GBA;2004;Role-Playing;Nintendo;257;158;206;21;641
132;Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;364;12;149;7;64
133;Pok√©mon Crystal Version;GB;2000;Role-Playing;Nintendo;255;156;129;99;639
134;Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;434;135;6;61;636
135;Red Dead Redemption;X360;2010;Action;Take-Two Interactive;37;197;9;57;634
136;Super Mario Sunshine;GC;2002;Platform;Nintendo;401;126;87;17;631
137;Street Fighter II: The World Warrior;SNES;1992;Fighting;Capcom;247;83;287;12;63
138;World of Warcraft;PC;2004;Role-Playing;Activision;7;621;0;0;628
139;Driver;PS;1999;Action;GT Interactive;311;28;2;33;627
141;Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;405;162;7;49;624
140;Kinect Sports;X360;2010;Sports;Microsoft Game Studios;392;178;3;51;624
142;Gears of War;X360;2006;Shooter;Microsoft Game Studios;354;19;7;6;611
143;Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;245;201;87;72;605
144;Sonic the Hedgehog 2;GEN;1992;Platform;Sega;447;12;16;19;603
145;Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;263;174;83;83;603
146;Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;318;183;78;24;603
147;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;241;228;28;101;599
148;Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;188;0;233;174;595
149;LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;28;205;17;9;592
150;Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;66;69;435;15;584
151;LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;366;163;0;53;583
152;Resident Evil 2;PS;1998;Action;Virgin Interactive;188;147;202;45;582
153;Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;226;189;136;23;574
154;Cooking Mama;DS;2006;Simulation;505 Games;313;194;7;58;572
155;Destiny;PS4;2014;Shooter;Activision;249;205;16;96;565
156;Tetris;NES;1988;Puzzle;Nintendo;297;69;181;11;558
157;Assassin's Creed II;PS3;2009;Action;Ubisoft;254;195;21;87;557
158;Super Smash Bros.;N64;1999;Fighting;Nintendo;295;6;197;4;555
159;Assassin's Creed;X360;2007;Adventure;Ubisoft;328;165;7;55;555
160;Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;27;191;11;8;553
161;Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;299;192;1;51;551
162;Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;47;57;413;34;55
163;Super Mario Advance;GBA;2001;Platform;Nintendo;314;124;91;2;549
164;Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;262;164;99;23;547
165;Super Mario World;GBA;2001;Platform;Nintendo;321;111;95;2;546
166;Pokemon Stadium;N64;1999;Strategy;Nintendo;318;124;94;9;545
167;Call of Duty: World at War;PS3;2008;Shooter;Activision;272;187;0;84;543
168;Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;207;229;24;82;542
169;Minecraft;PS3;2014;Misc;Sony Computer Entertainment;197;251;0;94;542
170;Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;174;124;187;52;536
171;Dr. Mario;GB;1989;Puzzle;Nintendo;218;96;2;2;534
172;Pokemon Pinball;GB;1999;Misc;Nintendo;302;112;101;16;531
174;Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;162;77;278;14;53
173;Assassin's Creed III;X360;2012;Action;Ubisoft;313;171;3;44;53
175;Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;192;108;211;17;529
176;Donkey Kong 64;N64;1999;Platform;Nintendo;333;79;109;6;527
177;Assassin's Creed II;X360;2009;Action;Ubisoft;31;156;8;51;527
178;Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;122;248;103;52;526
179;Tomb Raider II;PS;1997;Action;Eidos Interactive;23;246;2;28;524
181;Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;65;75;361;2;521
183;Super Mario Bros. 3;GBA;2003;Platform;Nintendo;293;125;83;2;52
182;Diablo III;PC;2012;Role-Playing;Activision;243;215;0;62;52
185;Super Mario Land 3: Wario Land;GB;1994;Platform;Nintendo;249;98;157;15;519
184;New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;232;13;127;31;519
186;FIFA Soccer 13;X360;2012;Action;Electronic Arts;108;348;3;58;518
187;The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;19;183;95;49;517
188;Donkey Kong Country 2: Diddy's Kong Quest;SNES;1995;Platform;Nintendo;21;74;22;11;515
189;Tomodachi Life;3DS;2013;Simulation;Nintendo;96;202;189;28;515
190;Mario & Sonic at the Olympic Games;DS;2008;Sports;Sega;164;248;44;58;514
192;Kirby's Dream Land;GB;1992;Platform;Nintendo;271;61;17;11;513
193;Fable III;X360;2010;Role-Playing;Microsoft Game Studios;359;111;5;38;513
194;Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;321;153;1;38;513
191;Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;198;223;13;8;513
196;Guitar Hero II;PS2;2006;Misc;RedOctane;381;63;0;68;512
195;Microsoft Flight Simulator;PC;1996;Simulation;Microsoft Game Studios;322;169;0;2;512
197;Resident Evil 5;PS3;2009;Action;Capcom;196;143;108;65;511
198;Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;266;201;0;41;508
199;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;17;202;16;121;508
200;FIFA Soccer 11;PS3;2010;Sports;Electronic Arts;6;329;6;113;508
201;Super Mario Bros.;GB;1999;Platform;Nintendo;34;13;15;22;507
202;Resident Evil;PS;1996;Action;Virgin Interactive;205;116;111;73;505
204;Super Smash Bros. for Wii U and 3DS;WiiU;2014;Fighting;Nintendo;259;106;8;57;502
203;Tony Hawk's Pro Skater;PS;1999;Sports;Activision;342;138;2;2;502
205;Warzone 2100;PS;1999;Strategy;Eidos Interactive;279;189;0;33;501
2;Super Mario Bros.;NES;1985;Platform;Nintendo;2908;358;681;77;4024
208;Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;349;1;1;148;498
209;Fallout 3;X360;2008;Role-Playing;Bethesda Softworks;339;103;9;44;496
210;Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007;Role-Playing;Nintendo;185;12;154;37;496
211;Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment;231;173;12;78;494
212;Madden NFL 06;PS2;2005;Sports;Electronic Arts;398;26;1;66;491
213;LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts;289;154;0;46;49
214;Diddy Kong Racing;N64;1997;Racing;Nintendo;291;99;89;1;488
215;Monster Hunter Freedom 3;PSP;2010;Role-Playing;Capcom;0;0;487;0;487
216;Dr. Mario;NES;1990;Puzzle;Nintendo;262;6;152;1;485
217;God of War III;PS3;2010;Action;Sony Computer Entertainment;274;136;12;63;484
219;Assassin's Creed;PS3;2007;Adventure;Ubisoft;191;2;9;83;483
218;StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;256;168;0;59;483
220;FIFA 15;PS3;2014;Sports;Electronic Arts;57;314;4;107;482
221;Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment;257;157;44;21;479
222;FIFA 17;PS4;2016;Sports;Electronic Arts;28;375;6;69;477
223;Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment;299;131;4;41;476
224;Driver 2;PS;2000;Action;Atari;236;21;2;25;473
225;The Simpsons: Hit & Run;PS2;2003;Racing;Vivendi Games;173;219;0;79;47
227;Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo;187;112;132;37;468
226;Tony Hawk's Pro Skater 2;PS;2000;Sports;Activision;305;141;2;2;468
228;The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts;194;195;8;7;467
229;Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios;208;204;6;47;464
230;Tomb Raider;PS;1996;Action;Eidos Interactive;229;197;13;24;463
231;Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;306;112;0;44;462
232;The Legend of Zelda: A Link to the Past;SNES;1991;Action;Nintendo;242;91;115;13;461
233;The Legend of Zelda: The Wind Waker;GC;2002;Action;Nintendo;26;99;89;13;46
235;Luigi's Mansion: Dark Moon;3DS;2013;Action;Nintendo;178;139;11;3;458
234;Mario & Sonic at the Olympic Winter Games;Wii;2009;Sports;Sega;189;199;22;48;458
236;Splatoon;WiiU;2015;Shooter;Nintendo;155;115;144;43;457
237;The Last of Us;PS4;2014;Action;Sony Computer Entertainment;178;187;7;82;455
239;Madden NFL 2005;PS2;2004;Sports;Electronic Arts;418;26;1;8;453
238;Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision;319;92;1;42;453
240;Pitfall!;2600;1981;Platform;Activision;421;24;0;5;45
241;Madden NFL 07;PS2;2006;Sports;Electronic Arts;363;24;1;61;449
242;Spider-Man: The Movie;PS2;2002;Action;Activision;271;151;3;23;448
180;Madden NFL 2004;PS2;N/A;Sports;Electronic Arts;426;26;1;71;523
243;Dragon Quest VII: Warriors of Eden;PS;2000;Role-Playing;Enix Corporation;2;14;41;2;447
244;Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment;196;169;8;74;447
246;God of War;PS2;2005;Action;Sony Computer Entertainment;271;129;2;43;445
245;Call of Duty: Advanced Warfare;PS3;2014;Shooter;Activision;154;194;19;77;445
247;Nintendo Land;WiiU;2012;Misc;Nintendo;255;111;46;33;444
248;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;267;135;1;39;442
249;Tony Hawk's Pro Skater 3;PS2;2001;Sports;Activision;266;129;1;46;441
251;The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive;282;105;13;4;439
250;Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment;1;239;105;86;439
252;Zelda II: The Adventure of Link;NES;1987;Adventure;Nintendo;219;5;161;8;438
253;Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts;203;179;8;47;437
254;Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment;173;173;14;75;435
255;Sonic the Hedgehog;GEN;1991;Platform;Sega;303;91;26;13;434
256;Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix;22;58;138;17;433
259;Asteroids;2600;1980;Shooter;Atari;4;26;0;5;431
258;Call of Duty: Advanced Warfare;X360;2014;Shooter;Activision;275;118;0;37;431
260;Fable II;X360;2008;Role-Playing;Microsoft Game Studios;251;127;11;41;431
257;FIFA 14;X360;2013;Sports;Electronic Arts;92;293;1;46;431
261;Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios;264;12;3;39;426
262;Super Mario 3D World;WiiU;2013;Platform;Nintendo;211;111;72;3;425
263;Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive;223;134;7;61;425
265;Namco Museum;GBA;2001;Misc;Namco Bandai Games;3;111;5;7;424
264;Assassin's Creed: Revelations;PS3;2011;Action;Ubisoft;141;202;1;72;424
266;Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment;146;0;83;193;423
267;Daxter;PSP;2006;Platform;Sony Computer Entertainment;245;102;0;75;422
269;The Legend of Zelda: Ocarina of Time;3DS;2011;Action;Nintendo;203;127;62;3;421
268;Warcraft II: Tides of Darkness;PC;1995;Strategy;Activision;17;227;0;23;421
270;FIFA Soccer 06;PS2;2005;Sports;Electronic Arts;78;255;4;84;421
273;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;128;183;57;53;42
272;Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment;13;207;18;65;42
271;EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment;88;23;2;83;42
275;Street Fighter IV;PS3;2009;Fighting;Capcom;202;106;58;53;419
274;Assassin's Creed: Revelations;X360;2011;Action;Ubisoft;225;147;4;43;419
276;FIFA 12;X360;2011;Sports;Electronic Arts;84;279;2;53;419
277;Teenage Mutant Ninja Turtles;NES;1989;Action;Palcom;338;44;31;4;417
279;Frogger;PS;1997;Action;Hasbro Interactive;379;27;0;11;416
278;Excitebike;NES;1984;Racing;Nintendo;204;48;157;7;416
280;Madden NFL 2003;PS2;2002;Sports;Electronic Arts;336;21;1;56;414
281;Watch Dogs;PS4;2014;Action;Ubisoft;14;186;11;77;414
282;Half-Life;PC;1997;Shooter;Vivendi Games;403;0;9;0;412
283;Super Mario World 2: Yoshi's Island;SNES;1995;Platform;Nintendo;165;61;176;9;412
284;FIFA Soccer 07;PS2;2006;Sports;Electronic Arts;71;248;3;89;411
286;Street Fighter II Turbo;SNES;1992;Fighting;Capcom;142;51;21;7;41
285;The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo;214;12;37;4;41
287;Carnival Games;Wii;2007;Misc;Take-Two Interactive;213;15;5;42;41
288;Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks;245;126;1;37;409
289;World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;257;152;0;0;409
290;Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks;265;106;4;33;408
291;God of War II;PS2;2007;Action;Sony Computer Entertainment;232;4;4;167;407
292;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios;235;128;3;41;406
293;World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment;12;226;9;77;406
295;Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games;168;151;51;35;405
294;Namco Museum Vol.3;PS;1996;Misc;Sony Computer Entertainment;228;155;16;6;405
297;Star Fox 64;N64;1997;Shooter;Nintendo;278;58;64;4;403
296;Far Cry 4;PS4;2014;Shooter;Ubisoft;112;212;1;69;403
298;Minecraft;PS4;2014;Misc;Sony Computer Entertainment Europe;138;187;12;65;402
299;Golf;NES;1984;Sports;Nintendo;122;28;246;4;401
300;Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks;215;12;7;59;401
3;Mario Kart Wii;Wii;2008;Racing;Nintendo;1585;1288;379;331;3582
5;Pokemon Red/Pokemon Blue;GB;1996;Role-Playing;Nintendo;1127;889;1022;1;3137
6;Tetris;GB;1989;Puzzle;Nintendo;232;226;422;58;3026
7;New Super Mario Bros.;DS;2006;Platform;Nintendo;1138;923;65;29;3001
302;Left 4 Dead 2;X360;2009;Shooter;Electronic Arts;267;89;5;37;399
303;Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games;208;135;0;54;398
304;EA Sports Active;Wii;2009;Sports;Electronic Arts;21;136;6;4;392
305;Assassin's Creed: Unity;PS4;2014;Action;Ubisoft;118;196;8;7;392
306;Donkey Kong Land;GB;1994;Platform;Nintendo;197;76;107;11;391
307;Tony Hawk's Underground;PS2;2003;Sports;Activision;229;117;1;42;39
309;Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;Nintendo;67;49;262;11;389
308;Assassin's Creed IV: Black Flag;PS3;2013;Action;Ubisoft;133;171;13;73;389
310;MotorStorm;PS3;2006;Racing;Sony Computer Entertainment;153;161;6;67;388
311;The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks;115;209;0;64;388
313;Dragon Warrior III;NES;1988;Role-Playing;Enix Corporation;1;0;377;0;387
314;Sports Champions;PS3;2010;Sports;Sony Computer Entertainment;212;114;1;51;387
312;Tekken 5;PS2;2005;Fighting;Namco Bandai Games;93;194;31;7;387
315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive;248;65;3;69;385
316;World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment;16;189;112;68;385
318;Namco Museum Vol.1;PS;1995;Misc;Sony Computer Entertainment;212;144;22;6;384
317;Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo;87;157;105;35;384
320;Mario & Luigi: Bowser's Inside Story;DS;2009;Role-Playing;Nintendo;226;48;81;27;383
319;The Legend of Zelda: Link's Awakening;GB;1992;Action;Nintendo;221;96;54;13;383
321;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;106;193;41;43;382
322;Nintendogs + cats;3DS;2011;Simulation;Nintendo;144;137;73;27;381
323;Batman: Arkham Knight;PS4;2015;Action;Warner Bros. Interactive Entertainment;149;158;1;61;379
325;LEGO Indiana Jones: The Original Adventures;X360;2008;Action;Activision;24;103;0;36;378
324;Mario & Sonic at the London 2012 Olympic Games;Wii;2011;Sports;Sega;114;191;27;46;378
326;Resident Evil Director's Cut;PS;1996;Action;Virgin Interactive;182;124;47;25;377
327;Ratchet & Clank: Size Matters;PSP;2007;Platform;Sony Computer Entertainment;14;14;1;87;377
330;Super Paper Mario;Wii;2007;Platform;Nintendo;198;88;59;32;376
328;Just Dance 2014;Wii;2013;Misc;Ubisoft;198;147;0;32;376
329;The Sims: Unleashed;PC;2002;Simulation;Electronic Arts;203;156;0;17;376
331;Harry Potter and the Sorcerer's Stone;PS;2001;Action;Electronic Arts;137;2;14;22;373
332;The Witcher 3: Wild Hunt;PS4;2015;Role-Playing;Namco Bandai Games;96;2;21;56;373
333;Resident Evil 3: Nemesis;PS;1999;Action;Eidos Interactive;13;77;154;11;372
334;Spyro: Year of the Dragon;PS;2000;Platform;Sony Computer Entertainment;193;158;0;19;371
336;Pok√©mon Trading Card Game;GB;1998;Strategy;Nintendo;149;73;138;1;37
335;FIFA Soccer 2005;PS2;2004;Sports;Electronic Arts;58;248;4;59;37
337;Battlefield 4;PS3;2013;Shooter;Electronic Arts;13;151;27;61;369
338;MySims;DS;2007;Simulation;Electronic Arts;159;161;8;41;369
339;Friend Collection;DS;2009;Misc;Nintendo;0;0;367;0;367
340;Tony Hawk's Pro Skater 4;PS2;2002;Sports;Activision;213;118;1;35;367
341;Midnight Club 3: DUB Edition;PSP;2005;Racing;Take-Two Interactive;165;122;0;79;366
343;SOCOM: U.S. Navy SEALs;PS2;2002;Shooter;Sony Computer Entertainment;253;81;6;24;365
344;Guitar Hero: World Tour;Wii;2008;Misc;Activision;233;97;0;35;365
342;Banjo-Kazooie;N64;1998;Platform;Nintendo;187;113;55;1;365
346;Jak and Daxter: The Precursor Legacy;PS2;2001;Platform;Sony Computer Entertainment;208;109;15;33;364
345;Gran Turismo 6;PS3;2013;Racing;Sony Computer Entertainment;71;18;4;74;364
349;Pro Evolution Soccer 2008;PS2;2007;Sports;Konami Digital Entertainment;5;0;64;293;363
347;Pokemon Snap;N64;1999;Simulation;Nintendo;223;68;66;6;363
350;Call of Duty: Ghosts;PS4;2013;Shooter;Activision;178;142;5;38;363
348;FIFA Soccer 10;PS3;2009;Sports;Electronic Arts;6;246;5;52;363
351;Resident Evil 4;PS2;2005;Action;Capcom;208;83;46;25;362
355;The Simpsons: Road Rage;PS2;2001;Racing;Electronic Arts;202;117;0;42;361
353;Star Wars: Battlefront;PS2;2004;Shooter;LucasArts;193;122;3;44;361
354;Doom II: Hell on Earth;PC;1994;Shooter;Virgin Interactive;205;14;0;16;361
356;Cooking Mama 2: Dinner With Friends;DS;2007;Simulation;505 Games;161;15;1;39;361
352;Tom Clancy's The Division;PS4;2016;Shooter;Ubisoft;128;161;15;57;361
357;Luigi's Mansion;GC;2001;Action;Nintendo;238;67;46;1;36
358;Star Wars: Battlefront II;PS2;2005;Shooter;LucasArts;218;102;3;37;359
359;WWF SmackDown!;PS;2000;Fighting;THQ;201;135;6;16;358
360;Croc: Legend of the Gobbos;PS;1997;Platform;Fox Interactive;157;179;0;2;356
361;Grand Theft Auto: Liberty City Stories;PS2;2006;Action;Take-Two Interactive;156;14;7;5;354
363;Tomb Raider III: Adventures of Lara Croft;PS;1997;Action;Eidos Interactive;166;158;12;18;354
362;The Getaway;PS2;2002;Action;Sony Computer Entertainment;123;177;5;49;354
366;Battlefield 4;X360;2013;Shooter;Electronic Arts;214;108;2;29;353
364;James Bond 007: Agent Under Fire;PS2;2001;Shooter;Electronic Arts;19;113;1;41;353
365;LEGO Star Wars: The Video Game;PS2;2005;Action;Eidos Interactive;198;114;1;41;353
367;FIFA Soccer 11;X360;2010;Sports;Electronic Arts;71;24;2;4;353
370;Left 4 Dead;X360;2008;Shooter;Electronic Arts;266;5;5;3;352
369;Spyro 2: Ripto's Rage!;PS;1999;Platform;Sony Computer Entertainment;214;121;1;17;352
368;Rugrats in Paris: The Movie;PS;2000;Action;THQ;196;133;0;23;352
371;Mario & Sonic at the Olympic Winter Games;DS;2009;Sports;Sega;122;166;27;38;352
373;Donkey Kong Country 3: Dixie Kong's Double Trouble!;SNES;1996;Platform;Nintendo;117;5;175;8;351
372;Resident Evil 5;X360;2009;Action;Capcom;211;94;12;34;351
375;Kung Fu;NES;1985;Action;Nintendo;164;38;142;6;35
374;Assassin's Creed: Brotherhood;X360;2010;Action;Ubisoft;284;39;3;24;35
376;Batman: Arkham Asylum;X360;2009;Action;Eidos Interactive;22;97;2;31;35
377;Clubhouse Games;DS;2006;Misc;Nintendo;59;183;73;35;35
379;Star Wars Battlefront (2015);XOne;2015;Shooter;Electronic Arts;194;122;2;31;349
381;Guitar Hero: On Tour;DS;2008;Misc;Activision;211;101;1;35;348
380;Battlefield: Bad Company 2;X360;2010;Shooter;Electronic Arts;209;102;4;32;348
382;Assassin's Creed: Unity;XOne;2014;Action;Ubisoft;226;89;0;3;346
383;Far Cry 3;PS3;2012;Shooter;Ubisoft;88;175;1;72;345
